,date,Country_Region,Confirmed,active_cases,active_rolling
807,2020-09-11,India,4659984,97570.0,90972.14285714286
1290,2020-09-12,India,4754356,94372.0,91506.42857142857
1293,2020-09-13,India,4846427,92071.0,91687.71428571429
1104,2020-09-14,India,4846427,0.0,80857.85714285714
1101,2020-09-15,India,5020359,173932.0,92890.14285714286
153,2020-09-16,India,5118253,97894.0,93198.57142857143
156,2020-09-17,India,5214677,96424.0,93180.42857142857
1398,2020-09-18,India,5308014,93337.0,92575.71428571429
1401,2020-09-19,India,5400619,92605.0,92323.28571428571
1185,2020-09-20,India,5487580,86961.0,91593.28571428571
1182,2020-09-21,India,5562663,75083.0,102319.42857142857
39,2020-09-22,India,5646010,83347.0,89378.71428571429
42,2020-09-23,India,5732518,86508.0,87752.14285714286
672,2020-09-24,India,5818570,86052.0,86270.42857142857
669,2020-09-25,India,5903932,85362.0,85131.14285714286
1353,2020-09-26,India,5992532,88600.0,84559.0
1356,2020-09-27,India,6074702,82170.0,83874.57142857143
114,2020-09-28,India,6145291,70589.0,83232.57142857143
123,2020-09-29,India,6225763,80472.0,82821.85714285714
1554,2020-09-30,India,6312584,86821.0,82866.57142857143
33,2020-10-01,India,6386526,73942.0,81136.57142857143
1176,2020-10-02,India,6473544,87018.0,81373.14285714286
1179,2020-10-03,India,6549373,75829.0,79548.71428571429
1350,2020-10-04,India,6623815,74442.0,78444.71428571429
1347,2020-10-05,India,6685082,61267.0,77113.0
663,2020-10-06,India,6757131,72049.0,75909.71428571429
666,2020-10-07,India,6835655,78524.0,74724.42857142857
1050,2020-10-08,India,6906151,70496.0,74232.14285714286
1056,2020-10-09,India,6979423,73272.0,72268.42857142857
432,2020-10-10,India,7053806,74383.0,72061.85714285714
426,2020-10-11,India,7120538,66732.0,70960.42857142857
1560,2020-10-12,India,7175880,55342.0,70114.0
1563,2020-10-13,India,7239389,63509.0,68894.0
954,2020-10-14,India,7307097,67708.0,67348.85714285714
951,2020-10-15,India,7370468,63371.0,66331.0
195,2020-10-16,India,7432680,62212.0,64751.0
198,2020-10-17,India,7494551,61871.0,62963.57142857143
1458,2020-10-18,India,7550273,55722.0,61390.71428571428
1461,2020-10-19,India,7597063,46790.0,60169.0
942,2020-10-20,India,7651107,54044.0,58816.857142857145
939,2020-10-21,India,7706946,55839.0,57121.28571428572
396,2020-10-22,India,7761312,54366.0,55834.857142857145
399,2020-10-23,India,7814682,53370.0,54571.71428571428
618,2020-10-24,India,7864811,50129.0,52894.28571428572
615,2020-10-25,India,7909959,45148.0,51383.71428571428
1515,2020-10-26,India,7946429,36470.0,49909.42857142857
1518,2020-10-27,India,7990322,43893.0,48459.28571428572
249,2020-10-28,India,8040203,49881.0,47608.142857142855
252,2020-10-29,India,8088851,48648.0,46791.28571428572
1299,2020-10-30,India,8137119,48268.0,46062.42857142857
1296,2020-10-31,India,8184082,46963.0,45610.142857142855
1218,2020-11-01,India,8229313,45231.0,45622.0
75,2020-11-02,India,8267623,38310.0,45884.857142857145
72,2020-11-03,India,8313876,46253.0,46222.0
741,2020-11-04,India,8364086,50210.0,46269.0
744,2020-11-05,India,8411724,47638.0,46124.71428571428
1425,2020-11-06,India,8462080,50356.0,46423.0
1422,2020-11-07,India,8507754,45674.0,46238.857142857145
165,2020-11-08,India,8553657,45903.0,46334.857142857145
159,2020-11-09,India,8591730,38073.0,46301.0
1599,2020-11-10,India,8636011,44281.0,46019.28571428572
1605,2020-11-11,India,8683916,47905.0,45690.0
468,2020-11-12,India,8728795,44879.0,45295.857142857145
465,2020-11-13,India,8773479,44684.0,44485.57142857143
261,2020-11-14,India,8814579,41100.0,43832.142857142855
264,2020-11-15,India,8845127,30548.0,41638.57142857143
1023,2020-11-16,India,8873541,28414.0,40258.71428571428
1020,2020-11-17,India,8912907,39366.0,39556.57142857143
633,2020-11-18,India,8958483,45576.0,39223.857142857145
627,2020-11-19,India,9004365,45882.0,39367.142857142855
330,2020-11-20,India,9050597,46232.0,39588.28571428572
333,2020-11-21,India,9095806,45209.0,40175.28571428572
885,2020-11-22,India,9139865,44059.0,42105.42857142857
882,2020-11-23,India,9177840,37975.0,43471.28571428572
1479,2020-11-24,India,9222216,44376.0,44187.0
1482,2020-11-25,India,9266705,44489.0,44031.71428571428
582,2020-11-26,India,9309787,43082.0,43631.71428571428
579,2020-11-27,India,9351109,41322.0,42930.28571428572
972,2020-11-28,India,9392919,41810.0,42444.71428571428
966,2020-11-29,India,9431691,38772.0,41689.42857142857
747,2020-11-30,India,9462809,31118.0,40709.857142857145
1239,2020-12-01,India,9499413,36604.0,39599.57142857143
765,2020-12-02,India,9534964,35551.0,38322.71428571428
762,2020-12-03,India,9571559,36595.0,37396.0
132,2020-12-04,India,9608211,36652.0,36728.857142857145
135,2020-12-05,India,9644222,36011.0,35900.42857142857
1071,2020-12-06,India,9677203,32981.0,35073.142857142855
1068,2020-12-07,India,9703770,26567.0,34423.0
678,2020-12-08,India,9735850,32080.0,33776.71428571428
675,2020-12-09,India,9767371,31521.0,33201.0
867,2020-12-10,India,9796744,29373.0,32169.285714285714
870,2020-12-11,India,9826775,30031.0,31223.428571428572
339,2020-12-12,India,9857029,30254.0,30401.0
336,2020-12-13,India,9884100,27071.0,29556.714285714286
585,2020-12-14,India,9906165,22065.0,28913.571428571428
588,2020-12-15,India,9932547,26382.0,28099.571428571428
1470,2020-12-16,India,9956557,24010.0,27026.571428571428
1467,2020-12-17,India,9979447,22890.0,26100.428571428572
204,2020-12-18,India,10004599,25152.0,25403.428571428572
201,2020-12-19,India,10031223,26624.0,24884.85714285714
483,2020-12-20,India,10055560,24337.0,24494.285714285714
486,2020-12-21,India,10075116,19556.0,24135.85714285714
1593,2020-12-22,India,10099066,23950.0,23788.428571428572
1590,2020-12-23,India,10123778,24712.0,23888.714285714286
1014,2020-12-24,India,10146845,23067.0,23914.0
1017,2020-12-25,India,10169118,22273.0,23502.714285714286
270,2020-12-26,India,10187850,18732.0,22375.285714285714
267,2020-12-27,India,10207871,20021.0,21758.714285714286
1542,2020-12-28,India,10224303,16432.0,21312.428571428572
1539,2020-12-29,India,10244852,20549.0,20826.571428571428
78,2020-12-30,India,10266674,21822.0,20413.714285714286
81,2020-12-31,India,10286709,20035.0,19980.571428571428
1011,2021-01-01,India,10305788,19079.0,19524.285714285714
246,2021-01-02,India,10323965,18177.0,19445.0
243,2021-01-03,India,10340469,16504.0,18942.571428571428
489,2021-01-04,India,10356844,16375.0,18934.428571428572
492,2021-01-05,India,10374932,18088.0,18582.85714285714
1617,2021-01-06,India,10395278,20346.0,18372.0
